city,placeid,name
temp,ChIJxeyK9Z3wloAR_gOA7SycJC0,Yosemite National Park
temp,ChIJb8Jg9pZYwokR-qHGtvSkLzs,The Metropolitan Museum of Art
temp,ChIJ82J3aie0D4gRS61ZAgdHF1E,O'Hare International Airport
temp,ChIJlWtAnNgw3YARNP74lzYz21U,The Queen Mary
temp,ChIJR0lA1VBmwokR8BGfSBOyT-w,John F. Kennedy International Airport
temp,ChIJdyyk8BXEyIARY72Zdyqd_m0,The Mirage
temp,ChIJ7wzsxeFSwokRhvLXxTe087M,Newark Liberty International Airport
temp,ChIJVVVVVYx3j4ARP-3NGldc8qQ,San Francisco International Airport
temp,ChIJjzp2WN7Kj4ARZu9lBAGmS2Q,Winchester Mystery House
temp,ChIJx1VD2SO0QIYRMcLAyPy0xpw,George Bush Intercontinental Airport
temp,ChIJN0na1RRw44kRRFEtH8OUkww,Boston Logan International Airport
temp,ChIJlYYq3iLEyIAR7W-7y3M7wbE,Wynn Las Vegas
temp,ChIJ7-bxRDmr3oARawtVV_lGLtw,San Diego International Airport
temp,ChIJT__BBTHEyIARSHye841eD20,The Cosmopolitan of Las Vegas
temp,ChIJAVkD4S_99IgRSLCSGO-jF0E,Hartsfield-Jackson Atlanta International Airport
temp,ChIJw____96GhYARCVVwg5cT7c0,Golden Gate Bridge
temp,ChIJpyoiDWYqTIYRHCB9Bl4_MnM,Dallas/Fort Worth International Airport
temp,ChIJCXoPsPRYwokRsV1MYnKBfaI,American Museum of Natural History
temp,ChIJHRH97uxYwokR6CBeDyn1jtg,The Frick Collection
temp,ChIJtU1Cg4lfwokRs2aWDmbEL3c,LaGuardia Airport
temp,ChIJ1eNig1VYwokRaYklB7yT0mo,Broadway @ Times Square Hotel
temp,ChIJvUdRyzDEyIARhA3R2cXH8oI,Bellagio Hotel and Casino
temp,ChIJidRKt32YVogRN6fEPG9Kuho,Charlotte Douglas International Airport
temp,ChIJswuaqjrEyIARE0cTvGmUiwk,Treasure Island
temp,ChIJL4OpYGbExokR2NM3RpQVLj4,Philadelphia International Airport
temp,ChIJX44S6a1ZwokRvIWf4R_fdiI,The New Yorker A Wyndham Hotel
temp,ChIJzZtJhM3FyIAR6eHpF4xTR68,Excalibur Hotel & Casino
temp,ChIJSYxSO5u3t4kRm4eyKw_Y7Kg,National Gallery of Art
temp,ChIJe6hluYWP2oAR4p3rOqftdxk,Joshua Tree National Park
temp,ChIJKxDbe_lYwokRVf__s8CPn-o,The Museum of Modern Art
temp,ChIJS3rn5w1644kRZNWVxNY_Ay8,"Museum of Fine Arts, Boston"
temp,ChIJhRwB-yFawokR5Phil-QQ3zM,Madison Square Garden
temp,ChIJpXADM1wOK4cRQu5W4tU19YI,Phoenix Sky Harbor International Airport
temp,ChIJd_c_Y4AD9YgR0xH3kBPHKqI,Omni Atlanta Hotel at CNN Center
temp,ChIJV0AwM30rDogR2sd-X0cgErU,The Field Museum
temp,ChIJYaVdffBYwokRnTOoCzCq9mE,The Plaza Hotel
temp,ChIJtU-yE9KwwoAR8a2LaVd7qHc,Los Angeles International Airport
temp,ChIJUW4vEPxYwokRW6o24DU0YIg,St. Patrick's Cathedral
temp,ChIJzzgyJU--woARcZqceSdQ3dM,Universal Studios Hollywood
temp,ChIJmZ5emqJYwokRuDz79o0coAQ,Solomon R. Guggenheim Museum
temp,ChIJiwV3rBXEyIARRdN3c345tKE,The Venetian
temp,ChIJHcpiHINkwYkRRi8ziGAM1is,Six Flags Great Adventure
temp,ChIJMwknwRu_woAR_eI2OM9ib2o,Hollywood Bowl
temp,ChIJXZwEH5_FyIARHh7EHiRZE0c,McCarran International Airport
temp,ChIJ8-0pEYjDyIARB4jQJR4xnxs,"Stratosphere Casino, Hotel & Tower"
temp,ChIJkyrqXbjHwoAR1bJ76zx89B8,STAPLES Center
temp,ChIJazD_QyG_woARwKuHsRqY0nU,The Hollywood Roosevelt
temp,ChIJQ0Sek0bCwogRCdUBxgiEW3o,Tampa International Airport
temp,ChIJPS8b1vhYwokRldqq2YHmxJI,Radio City Music Hall
temp,ChIJ38KlUGXEyIARkT07Nn0apvI,Westgate Las Vegas Resort & Casino
temp,ChIJR7RcPs7FyIAROAHQry50Wgs,Luxor Hotel & Casino
temp,ChIJ4-RmgarmjYARY5silxlKqLU,Monterey Bay Aquarium
temp,ChIJwxiI1nkE9YgR3dIyOdDBaC8,Atlanta Marriott Marquis
temp,ChIJN6W-X_VYwokRTqwcBnTw1Uk,Lincoln Center for the Performing Arts
temp,ChIJucyQYcL95okRZafxtdR6Wyc,Bradley International Airport
temp,ChIJ9U1mz_5YwokRosza1aAk0jM,Rockefeller Center
temp,ChIJ86lMh3gE9YgRVGCyTyCJZB0,"The Westin Peachtree Plaza, Atlanta"
temp,ChIJT7Wpyj4tDogRRAPwjAbwk5s,United Center
temp,ChIJVVVVVVXlUVMRu-GPNDD5qKw,Yellowstone National Park
temp,ChIJx9KzNzPEyIARcKoYGU1i1g8,Tropicana Las Vegas
