city,placeid,name
Bombay,ChIJrRMfuPC55zsRafiFEWj3Ejw,Navi Mumbai
Bombay,ChIJ____b8DR5zsRVz_XpIUEKcA,The Taj Mahal Palace
Bombay,ChIJ____b-nR5zsRwb4q2GWqXjg,"The Oberoi, Mumbai"
Bombay,ChIJrVwNOsfR5zsRPHOcIKclCsc,Gateway Of India Mumbai
Bombay,ChIJeWPJawzO5zsRpoqIisYWdbg,Mani Bhavan Gandhi Sanghralaya
Bombay,ChIJgWqi8ODR5zsRFjnfBH7k1oc,Wankhede Stadium
Bombay,ChIJ40INk37O5zsRBY0Hq8dd4NU,Haji Ali Dargah
Bombay,ChIJYzmrGtvR5zsRnkXI7onJ3tA,Reserve Bank Of India
Bombay,ChIJCexkMT_J5zsRPxlq4wf_4Yw,Lilavati Hospital & Research Centre
Bombay,ChIJaayF0sLR5zsRHXbJ24fN6dc,Bombay High Court
Bombay,ChIJr3COQlvO5zsRBS4MFGze73k,Dr Bhau Daji Lad Museum
Bombay,ChIJx2VKQAjG5zsRNoir7I4Aric,Tata Institute of Social Sciences
Bombay,ChIJCVSAtybO5zsRmo628OhYNiQ,Crawford Market
Bombay,ChIJk3X00XbO5zsRx2UpTspHr3M,Jaslok Hospital & Research Centre
Bombay,ChIJG8VDYIzO5zsRqlIdGnKIkkY,High Street Phoenix
Bombay,ChIJISl0DODR5zsRsAU0n90HQ-c,Bombay Hospital and Medical Research Centre
Bombay,ChIJH1q0mNnR5zsRyVrR79B4xOU,Holy Name Cathedral
Bombay,ChIJGWPN1tDO5zsR7WmIuRRMTZ8,"D. G. Ruparel College of Arts, Science and Commerce"
Bombay,ChIJzU_0XojR5zsRDSGa7TThRQY,Tata Institute of Fundamental Research
Bombay,ChIJwe1EZjDG5zsRaYxkjY_tpF0,Mumbai
