city,placeid,name
Mumbai,ChIJrRMfuPC55zsRafiFEWj3Ejw,Navi Mumbai
Mumbai,ChIJ____b8DR5zsRVz_XpIUEKcA,The Taj Mahal Palace
Mumbai,ChIJ____b-nR5zsRwb4q2GWqXjg,"The Oberoi, Mumbai"
Mumbai,ChIJrVwNOsfR5zsRPHOcIKclCsc,Gateway Of India Mumbai
Mumbai,ChIJeWPJawzO5zsRpoqIisYWdbg,Mani Bhavan Gandhi Sanghralaya
Mumbai,ChIJgWqi8ODR5zsRFjnfBH7k1oc,Wankhede Stadium
Mumbai,ChIJ40INk37O5zsRBY0Hq8dd4NU,Haji Ali Dargah
Mumbai,ChIJYzmrGtvR5zsRnkXI7onJ3tA,Reserve Bank Of India
Mumbai,ChIJCexkMT_J5zsRPxlq4wf_4Yw,Lilavati Hospital & Research Centre
Mumbai,ChIJaayF0sLR5zsRHXbJ24fN6dc,Bombay High Court
Mumbai,ChIJr3COQlvO5zsRBS4MFGze73k,Dr Bhau Daji Lad Museum
Mumbai,ChIJx2VKQAjG5zsRNoir7I4Aric,Tata Institute of Social Sciences
Mumbai,ChIJCVSAtybO5zsRmo628OhYNiQ,Crawford Market
Mumbai,ChIJk3X00XbO5zsRx2UpTspHr3M,Jaslok Hospital & Research Centre
Mumbai,ChIJG8VDYIzO5zsRqlIdGnKIkkY,High Street Phoenix
Mumbai,ChIJISl0DODR5zsRsAU0n90HQ-c,Bombay Hospital and Medical Research Centre
Mumbai,ChIJH1q0mNnR5zsRyVrR79B4xOU,Holy Name Cathedral
Mumbai,ChIJGWPN1tDO5zsR7WmIuRRMTZ8,"D. G. Ruparel College of Arts, Science and Commerce"
Mumbai,ChIJzU_0XojR5zsRDSGa7TThRQY,Tata Institute of Fundamental Research
Mumbai,ChIJwe1EZjDG5zsRaYxkjY_tpF0,Mumbai
