review,placeid
"Half Dome. I did this 16 mile hike at the end August.  Perfect time of year. Not to hot with a nice breeze all day. The 2 large water falls you will pass are still going and beautiful however if you want to see them full go in June. Note: be ready for 3 miles of steps at the beginning then you hit the forest.  You have to be a part of the lottery to get on Half Dome. Ranger will be there to check.  The cables are not as scary as people think. Have rubber grip gloves!!! And make sure your standing on the wood while your waiting to go up and down. People going up and down share the same cable path. This is fine until your around a group who can't get it together. A little communication and direction goes a long way. The view at the top is spectacular and well worth it
",ChIJxeyK9Z3wloAR_gOA7SycJC0
We spent four days in Yosemite and did not want to leave.  Every turn held more beauty than we expected.  The valley held its own beauty and we were humbled by the size of the surrounding peaks.  We slept in a Best Western just south of a park entrance and it was perfect for day trips.  The feeling of being in a cathedral never left us as we stopped in deserted spots and just gazed at our surroundings.  ,ChIJxeyK9Z3wloAR_gOA7SycJC0
"Jwell of Northern California... All the hiking trails have their unique aspects... 
So try different way to reach the destinations...
Wear nice Grip Shoes...
Good Luck!!",ChIJxeyK9Z3wloAR_gOA7SycJC0
"$30 fee?  It looked like a shortcut to Napa, but the slow winding roads and the constant mysterious orange cones of construction with invisible workers made the trip through a 7 hour misery.  
I'm slightly handicapped and there were VERY FEW places of interest for me and my walking sticks. Now I don't expect wheelchair access to the peak of El Captain, but access to a lake or scenic vista would be nice. Even on a Wednesday in August there was little no access to parking unless you were able to park alongside of the road and everyone piled out of the driver's side into traffic. 
Did I mention the $1.00 a gallon surcharge on gasoline on the two stations on either side of the park?  That is on top of California's already high prices. A couple miles out of the park and they drop to normal high taxed prices. 
I gave it two stars because there were a couple pullouts for some pretty spectacular views, but there are a lot of spectacular views where you don't get robbed to drive past them. ",ChIJxeyK9Z3wloAR_gOA7SycJC0
"Most beautiful national park that I've been so far. You need to prepare for several days to explore this park. I'm very lucky to see the bear, one the first day in the park! Awesome for wildlife and nature. Look forward to go back again.",ChIJxeyK9Z3wloAR_gOA7SycJC0
"A great collection of art, exhibits that anyone can enjoy.

A little known fact is that the museum is donation based, you are welcome to donate however much you want per person.   This was perfect for us visiting New York because we only wanted to stay for a little while and didn't want to pay the full amount for being there only a few hours.

It's something everyone should check out while in New York City, it's a great art museum that everyone can enjoy and appreciate. ",ChIJb8Jg9pZYwokR-qHGtvSkLzs
"One of the best museum in the world. Thousands and thousands collections from Asia, Europe, and Africa etc. Every collection will definitely make you wow. The exhibition rooms are exquisite, clean, and well organized. Tip for travelers, plan at least half day or entire day in the museum. $25 per person. ",ChIJb8Jg9pZYwokR-qHGtvSkLzs
"HUGE!  That's the best word to describe the MET.   If you have to chose only one museum to visit in NYC, it would be the MET.  You could spend two days there, and still probably not look at everything.  We didn't get to see it all, due to time restrictions.

Great sculpture collection.  The armor and sword collection is vast and informative as well.",ChIJb8Jg9pZYwokR-qHGtvSkLzs
"This museum is most definitely a 5 stars museum. Clean, everything is in place, professional people, and headphones that really make it so much more interesting. I just couldn?t get enough of this place. Take your time, appreciate the beauty, put your phone away for a while, and go back in time. 

Even if you are not into art, you must visit this place at least once, I find it hard to believe the there is someone who won?t find at least one piece there beautiful. And the head phones really make it more special, since when there is a story, things looks different, and get much deeper meaning.
",ChIJb8Jg9pZYwokR-qHGtvSkLzs
"How can you not like a museum like the MET... Being a New Yorker, I know that you need few days to real cover it, and that the exhibitions always worth a visit.
One of things I love here is the different languages you hear while visiting, and one of the things I hate is the crazy amount of photos people take. I wish they will stop people from taking pictures, since it really damage the exhibits. Or at least have no photos days, for people who just want to enjoy art, and don?t have to take it home with them...
",ChIJb8Jg9pZYwokR-qHGtvSkLzs
I wish I could give negative stars. The TSA personnel are horrible at ORD. I have never had a positive experiance with TSA here. Prepare yourself for how rude they are and kill them with kindness. You'll have a better trip and they might have an ounce of guilt for their treatment to Joe public. Life is too short TSA. Smile.,ChIJ82J3aie0D4gRS61ZAgdHF1E
