review,placeid
"Tajmahal hotel one of the best hotel international hotel of india. Good food good service well decoration over all I am very pleased  with the service of Tajmahal Hotel india. If i visit India again specially Mumbai, definitely i will say here agai and i will recomand all to visit Tajmahal hotel. ",ChIJ____b8DR5zsRVz_XpIUEKcA
"Best hotel I have ever stayed at.

Which ended up with probably the most expensive hotel bill I've ever seen. But totally worth it.

I utilised the facilities to the fill and had a massage, used the pool, ate in the restaurants, and had breakfast here too.

Best ever!

Can't recommend enough.

It was slightly eerie setting the halls that were on the news a few years ago, but they have company rebuilt the damaged parts leaving an extra special hotel.

We started in the palace side with a sea view. If you can stretch that far, do the same.",ChIJ____b8DR5zsRVz_XpIUEKcA
The The Taj Mahal Palace is very nice. I was visiting mumbai for 15 days. I am staying in the same hotel said. The hotel's service is very good. .....,ChIJ____b8DR5zsRVz_XpIUEKcA
"Breakfast, Tea and dinner at the sea lounge amazing place and very relaxing takes u away from the hustle and bustle of the city and if u lucky u might get to see bollywood stars saw Salman Khan and his brothers having tea stayed here few times now not even once it disappointed me cant wait to stay there again
",ChIJ____b8DR5zsRVz_XpIUEKcA
"Brilliant stay! We had a great time in a Palace Wing room with a small balcony overlooking the poolside. Our other room, which the kids stayed also had a small balcony with partial sea view. Breakfast at the Sea lounge is pure decadent luxury, This hotel drips heritage & regal ambience & you are in the most coveted location of Mumbai. Furthermore you are treated very well from check in stage itself, typical of the Taj ethos. A tragic tinge of history adds valor & grandeur, if nothing else...",ChIJ____b8DR5zsRVz_XpIUEKcA
"One of the best hotel in world 
skilled profetional staff",ChIJ____b-nR5zsRwb4q2GWqXjg
Nice barbar shop ,ChIJ____b-nR5zsRwb4q2GWqXjg
Very very nice and good hospitality  ,ChIJ____b-nR5zsRwb4q2GWqXjg
Luxurious and Spacious...,ChIJ____b-nR5zsRwb4q2GWqXjg
jst mindblowing.....loved it,ChIJ____b-nR5zsRwb4q2GWqXjg
"No Doubt It as Master Piece Of Art But Do we Indians Realize..?
The Script Written On It 
""Erected to commemorate the landing India of their imperial majesties king George v and queen Mary on the second of December MCM XI""
Simply Indicates The Slavery Of India..!!
Ofcourse Its A Fact...
But.....!
Is It A Thing To Take Pride Of..? ",ChIJrVwNOsfR5zsRPHOcIKclCsc
What a place. I visited it twice till today. I got some amazing shots from the sea. I visited while traveling for the street food and places in mumbai for street food and travel tv india.,ChIJrVwNOsfR5zsRPHOcIKclCsc
It's a fantastic place...resembling the historical importance...having chhatrapti shivaji maharaj & swami Vivekananda idol...full of foreigners and enthusiasm...!!! Just love it,ChIJrVwNOsfR5zsRPHOcIKclCsc
Super i enjoye the place  .and i evry day thaugt go and see ,ChIJrVwNOsfR5zsRPHOcIKclCsc
"Awesome place to visit 
Fantastic view.. chill out wid ur friends n family ?",ChIJrVwNOsfR5zsRPHOcIKclCsc
"This place I svery good. Gives a lot of information about ancient India. Its a very good and educational place. I advice people to go there. For those who love history subject, it is going to be a great place for them. All The Best.",ChIJeWPJawzO5zsRpoqIisYWdbg
it was an marvellous experience. saw oldage things used by gandhi ji,ChIJeWPJawzO5zsRpoqIisYWdbg
"it was a marvellous experience !
the place was very positive.... as we went in a hired car , it was not difficult to reach there . But if you go by public transport , you ought to take a map  with you.
It is best for school-going students for their projects , etc . 
",ChIJeWPJawzO5zsRpoqIisYWdbg
Amazing. Informative.,ChIJeWPJawzO5zsRpoqIisYWdbg
"Good presentation 
",ChIJeWPJawzO5zsRpoqIisYWdbg
"I was here when dhoni led test team was playing englishmen...
Gr8 screen but cudnt see anything more...
However its been renovated and looks cozy now...",ChIJgWqi8ODR5zsRFjnfBH7k1oc
Best place 2 watch bombay croud supporting indian n mumbai...,ChIJgWqi8ODR5zsRFjnfBH7k1oc
Best stadium in indian cricket Sir Sachin tendulkar practices here...,ChIJgWqi8ODR5zsRFjnfBH7k1oc
